matchup,game_id,red_agent,yellow_agent,winner_value,winner_name,illegal_by,red_time,yellow_time,turns
Group A Santiago - MinimaxAlphaBeta vs Group B Ricardo - MCTS_UCB1,1,Group A Santiago - MinimaxAlphaBeta,Group B Ricardo - MCTS_UCB1,-1,Group A Santiago - MinimaxAlphaBeta,,1.777334451675415,11.822664260864258,15
Group A Santiago - MinimaxAlphaBeta vs Group B Ricardo - MCTS_UCB1,2,Group A Santiago - MinimaxAlphaBeta,Group B Ricardo - MCTS_UCB1,-1,Group A Santiago - MinimaxAlphaBeta,,0.6175353527069092,8.520567655563354,9
Group A Santiago - MinimaxAlphaBeta vs Group B Ricardo - MCTS_UCB1,3,Group A Santiago - MinimaxAlphaBeta,Group B Ricardo - MCTS_UCB1,-1,Group A Santiago - MinimaxAlphaBeta,,0.5828676223754883,8.331726551055908,9
Group A Santiago - MinimaxAlphaBeta vs Group B Ricardo - MCTS_UCB1,4,Group A Santiago - MinimaxAlphaBeta,Group B Ricardo - MCTS_UCB1,-1,Group A Santiago - MinimaxAlphaBeta,,2.6395790576934814,9.79233717918396,15
Group A Santiago - MinimaxAlphaBeta vs Group B Ricardo - MCTS_UCB1,5,Group A Santiago - MinimaxAlphaBeta,Group B Ricardo - MCTS_UCB1,-1,Group A Santiago - MinimaxAlphaBeta,,0.6766707897186279,8.733049869537354,9
Group A Santiago - MinimaxAlphaBeta vs Group B Ricardo - MCTS_UCB1,6,Group A Santiago - MinimaxAlphaBeta,Group B Ricardo - MCTS_UCB1,-1,Group A Santiago - MinimaxAlphaBeta,,1.7546024322509766,9.938597917556763,11
Group A Santiago - MinimaxAlphaBeta vs Group B Ricardo - MCTS_UCB1,7,Group A Santiago - MinimaxAlphaBeta,Group B Ricardo - MCTS_UCB1,-1,Group A Santiago - MinimaxAlphaBeta,,1.8707306385040283,10.400542736053467,11
Group A Santiago - MinimaxAlphaBeta vs Group B Ricardo - MCTS_UCB1,8,Group A Santiago - MinimaxAlphaBeta,Group B Ricardo - MCTS_UCB1,-1,Group A Santiago - MinimaxAlphaBeta,,0.6655001640319824,8.838282346725464,9
Group A Santiago - MinimaxAlphaBeta vs Group B Ricardo - MCTS_UCB1,9,Group A Santiago - MinimaxAlphaBeta,Group B Ricardo - MCTS_UCB1,-1,Group A Santiago - MinimaxAlphaBeta,,0.7029314041137695,9.222405910491943,9
Group A Santiago - MinimaxAlphaBeta vs Group B Ricardo - MCTS_UCB1,10,Group A Santiago - MinimaxAlphaBeta,Group B Ricardo - MCTS_UCB1,-1,Group A Santiago - MinimaxAlphaBeta,,0.8169269561767578,8.542828798294067,9
Group A Santiago - MinimaxAlphaBeta vs Group B Ricardo - MCTS_UCB1,11,Group A Santiago - MinimaxAlphaBeta,Group B Ricardo - MCTS_UCB1,-1,Group A Santiago - MinimaxAlphaBeta,,2.6385066509246826,9.615969896316528,15
Group A Santiago - MinimaxAlphaBeta vs Group B Ricardo - MCTS_UCB1,12,Group A Santiago - MinimaxAlphaBeta,Group B Ricardo - MCTS_UCB1,-1,Group A Santiago - MinimaxAlphaBeta,,0.6704299449920654,8.490678548812866,9
Group A Santiago - MinimaxAlphaBeta vs Group B Ricardo - MCTS_UCB1,13,Group A Santiago - MinimaxAlphaBeta,Group B Ricardo - MCTS_UCB1,-1,Group A Santiago - MinimaxAlphaBeta,,1.3184351921081543,13.218568801879883,19
Group A Santiago - MinimaxAlphaBeta vs Group B Ricardo - MCTS_UCB1,14,Group A Santiago - MinimaxAlphaBeta,Group B Ricardo - MCTS_UCB1,-1,Group A Santiago - MinimaxAlphaBeta,,0.8033232688903809,8.438315629959106,9
Group A Santiago - MinimaxAlphaBeta vs Group B Ricardo - MCTS_UCB1,15,Group A Santiago - MinimaxAlphaBeta,Group B Ricardo - MCTS_UCB1,-1,Group A Santiago - MinimaxAlphaBeta,,1.8397724628448486,9.89914608001709,11
Group A Santiago - MinimaxAlphaBeta vs Group B Ricardo - MCTS_UCB1,16,Group A Santiago - MinimaxAlphaBeta,Group B Ricardo - MCTS_UCB1,-1,Group A Santiago - MinimaxAlphaBeta,,0.6666772365570068,8.427016973495483,9
Group A Santiago - MinimaxAlphaBeta vs Group B Ricardo - MCTS_UCB1,17,Group A Santiago - MinimaxAlphaBeta,Group B Ricardo - MCTS_UCB1,-1,Group A Santiago - MinimaxAlphaBeta,,0.9176967144012451,9.620865106582642,13
Group A Santiago - MinimaxAlphaBeta vs Group B Ricardo - MCTS_UCB1,18,Group A Santiago - MinimaxAlphaBeta,Group B Ricardo - MCTS_UCB1,-1,Group A Santiago - MinimaxAlphaBeta,,0.8386647701263428,8.396989822387695,9
Group A Santiago - MinimaxAlphaBeta vs Group B Ricardo - MCTS_UCB1,19,Group A Santiago - MinimaxAlphaBeta,Group B Ricardo - MCTS_UCB1,-1,Group A Santiago - MinimaxAlphaBeta,,2.2316179275512695,9.56386923789978,15
Group A Santiago - MinimaxAlphaBeta vs Group B Ricardo - MCTS_UCB1,20,Group A Santiago - MinimaxAlphaBeta,Group B Ricardo - MCTS_UCB1,-1,Group A Santiago - MinimaxAlphaBeta,,2.0856757164001465,9.738160133361816,15
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,1,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,13.59535002708435,2.205667734146118,16
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,2,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,13.7371244430542,1.7300183773040771,14
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,3,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,9.741603136062622,0.9254550933837891,8
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,4,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,13.460332155227661,4.415322780609131,16
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,5,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,13.384996175765991,3.4366848468780518,16
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,6,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,15.60425353050232,3.140061378479004,16
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,7,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,13.298027753829956,1.9518511295318604,14
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,8,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,9.638585329055786,1.035851001739502,8
Group B Ricardo - MCTS_UCB1 vs Group A Santiago - MinimaxAlphaBeta,9,Group B Ricardo - MCTS_UCB1,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,9.926414966583252,1.0490734577178955,8
